trackid,track_name,composer,seconds,duracion,bytes,unitprice,albumid,album_title,artistid,artist_name,genreid,genre_name,mediatypeid,mediatype_name,last_update
28,Janie's Got A Gun,"Steven Tyler, Tom Hamilton",330,05:30,10869391,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.419698+00
29,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309,05:09,10056995,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.420749+00
30,Amazing,"Steven Tyler, Richie Supa",356,05:56,11616195,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.421846+00
31,Blind Man,"Steven Tyler, Joe Perry, Taylor Rhodes",240,04:00,7877453,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.423235+00
32,Deuces Are Wild,"Steven Tyler, Jim Vallance",215,03:35,7074167,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.425432+00
33,The Other Side,"Steven Tyler, Jim Vallance",244,04:04,7983270,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.427042+00
34,Crazy,"Steven Tyler, Joe Perry, Desmond Child",316,05:16,10402398,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.428134+00
35,Eat The Rich,"Steven Tyler, Joe Perry, Jim Vallance",251,04:11,8262039,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.429216+00
36,Angel,"Steven Tyler, Desmond Child",307,05:07,9989331,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.431854+00
37,Livin' On The Edge,"Steven Tyler, Joe Perry, Mark Hudson",381,06:21,12374569,0.99,5,Big Ones,3,Aerosmith,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.433348+00
38,All I Really Want,Alanis Morissette & Glenn Ballard,284,04:44,9375567,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.434875+00
39,You Oughta Know,Alanis Morissette & Glenn Ballard,249,04:09,8196916,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.436162+00
40,Perfect,Alanis Morissette & Glenn Ballard,188,03:08,6145404,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.437294+00
41,Hand In My Pocket,Alanis Morissette & Glenn Ballard,221,03:41,7224246,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.438485+00
42,Right Through You,Alanis Morissette & Glenn Ballard,176,02:56,5793082,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.439793+00
43,Forgiven,Alanis Morissette & Glenn Ballard,300,05:00,9753256,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.441545+00
44,You Learn,Alanis Morissette & Glenn Ballard,239,03:59,7824837,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.443161+00
45,Head Over Feet,Alanis Morissette & Glenn Ballard,267,04:27,8758008,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.444289+00
46,Mary Jane,Alanis Morissette & Glenn Ballard,280,04:40,9163588,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.446016+00
47,Ironic,Alanis Morissette & Glenn Ballard,229,03:49,7598866,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.448025+00
48,Not The Doctor,Alanis Morissette & Glenn Ballard,227,03:47,7604601,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.449455+00
49,Wake Up,Alanis Morissette & Glenn Ballard,293,04:53,9703359,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.450575+00
50,You Oughta Know (Alternate),Alanis Morissette & Glenn Ballard,491,08:11,16008629,0.99,6,Jagged Little Pill,4,Alanis Morissette,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.451648+00
51,We Die Young,Jerry Cantrell,152,02:32,4925362,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.452767+00
52,Man In The Box,"Jerry Cantrell, Layne Staley",286,04:46,9310272,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.45396+00
53,Sea Of Sorrow,Jerry Cantrell,349,05:49,11316328,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.455143+00
54,Bleed The Freak,Jerry Cantrell,241,04:01,7847716,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.456332+00
55,I Can't Remember,"Jerry Cantrell, Layne Staley",222,03:42,7302550,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.458441+00
56,"Love, Hate, Love","Jerry Cantrell, Layne Staley",387,06:27,12575396,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.460066+00
57,It Ain't Like That,"Jerry Cantrell, Michael Starr, Sean Kinney",277,04:37,8993793,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.462818+00
58,Sunshine,Jerry Cantrell,284,04:44,9216057,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.464109+00
59,Put You Down,Jerry Cantrell,196,03:16,6420530,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.465732+00
60,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344,05:44,11183647,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.467227+00
61,I Know Somethin (Bout You),Jerry Cantrell,261,04:21,8497788,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.468442+00
62,Real Thing,"Jerry Cantrell, Layne Staley",243,04:03,7937731,0.99,7,Facelift,5,Alice In Chains,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.469578+00
63,Desafinado,,185,03:05,5990473,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.470843+00
64,Garota De Ipanema,,285,04:45,9348428,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.471917+00
65,Samba De Uma Nota Só (One Note Samba),,137,02:17,4535401,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.473204+00
66,Por Causa De Você,,169,02:49,5536496,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.474607+00
67,Ligia,,251,04:11,8226934,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.478029+00
68,Fotografia,,129,02:09,4198774,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.479763+00
69,Dindi (Dindi),,253,04:13,8149148,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.480842+00
70,Se Todos Fossem Iguais A Você (Instrumental),,134,02:14,4393377,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.481898+00
71,Falando De Amor,,219,03:39,7121735,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.482937+00
72,Angela,,169,02:49,5574957,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.48475+00
73,Corcovado (Quiet Nights Of Quiet Stars),,205,03:25,6687994,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.486056+00
74,Outra Vez,,126,02:06,4110053,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.487237+00
75,O Boto (Bôto),,366,06:06,12089673,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.488302+00
76,"Canta, Canta Mais",,271,04:31,8719426,0.99,8,Warner 25 Anos,6,Antônio Carlos Jobim,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.489471+00
77,Enter Sandman,Apocalyptica,221,03:41,7286305,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.491845+00
78,Master Of Puppets,Apocalyptica,436,07:16,14375310,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.494759+00
79,Harvester Of Sorrow,Apocalyptica,374,06:14,12372536,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.496704+00
80,The Unforgiven,Apocalyptica,322,05:22,10422447,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.497831+00
81,Sad But True,Apocalyptica,288,04:48,9405526,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.498919+00
82,Creeping Death,Apocalyptica,308,05:08,10110980,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.499986+00
83,Wherever I May Roam,Apocalyptica,369,06:09,12033110,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.501036+00
84,Welcome Home (Sanitarium),Apocalyptica,350,05:50,11406431,0.99,9,Plays Metallica By Four Cellos,7,Apocalyptica,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.50238+00
85,Cochise,Audioslave/Chris Cornell,222,03:42,5339931,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.503491+00
86,Show Me How to Live,Audioslave/Chris Cornell,277,04:37,6672176,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.504573+00
87,Gasoline,Audioslave/Chris Cornell,279,04:39,6709793,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.505629+00
88,What You Are,Audioslave/Chris Cornell,249,04:09,5988186,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.507134+00
89,Like a Stone,Audioslave/Chris Cornell,294,04:54,7059624,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.510938+00
90,Set It Off,Audioslave/Chris Cornell,263,04:23,6321091,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.512561+00
91,Shadow on the Sun,Audioslave/Chris Cornell,343,05:43,8245793,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.514036+00
92,I am the Highway,Audioslave/Chris Cornell,334,05:34,8041411,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.515266+00
93,Exploder,Audioslave/Chris Cornell,206,03:26,4948095,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.516334+00
94,Hypnotize,Audioslave/Chris Cornell,206,03:26,4961887,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.51738+00
95,Bring'em Back Alive,Audioslave/Chris Cornell,329,05:29,7911634,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.518424+00
96,Light My Way,Audioslave/Chris Cornell,303,05:03,7289084,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.51953+00
97,Getaway Car,Audioslave/Chris Cornell,299,04:59,7193162,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.520568+00
98,The Last Remaining Light,Audioslave/Chris Cornell,317,05:17,7622615,0.99,10,Audioslave,8,Audioslave,1,Rock,1,MPEG audio file,2023-01-04 12:05:34.521589+00
99,Your Time Has Come,"Cornell, Commerford, Morello, Wilk",255,04:15,8273592,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.522686+00
100,Out Of Exile,"Cornell, Commerford, Morello, Wilk",291,04:51,9506571,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.525855+00
101,Be Yourself,"Cornell, Commerford, Morello, Wilk",279,04:39,9106160,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.527062+00
102,Doesn't Remind Me,"Cornell, Commerford, Morello, Wilk",255,04:15,8357387,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.528128+00
103,Drown Me Slowly,"Cornell, Commerford, Morello, Wilk",233,03:53,7609178,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.529192+00
104,Heaven's Dead,"Cornell, Commerford, Morello, Wilk",276,04:36,9006158,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.530213+00
105,The Worm,"Cornell, Commerford, Morello, Wilk",237,03:57,7710800,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.531263+00
106,Man Or Animal,"Cornell, Commerford, Morello, Wilk",233,03:53,7542942,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.532292+00
107,Yesterday To Tomorrow,"Cornell, Commerford, Morello, Wilk",273,04:33,8944205,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.533319+00
108,Dandelion,"Cornell, Commerford, Morello, Wilk",278,04:38,9003592,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.534355+00
109,#1 Zero,"Cornell, Commerford, Morello, Wilk",299,04:59,9731988,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.535427+00
110,The Curse,"Cornell, Commerford, Morello, Wilk",309,05:09,10029406,0.99,11,Out Of Exile,8,Audioslave,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:34.53648+00
111,Money,"Berry Gordy, Jr./Janie Bradford",147,02:27,2365897,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.537519+00
112,Long Tall Sally,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106,01:46,1707084,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.538556+00
113,Bad Boy,Larry Williams,116,01:56,1862126,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.542519+00
114,Twist And Shout,Bert Russell/Phil Medley,161,02:41,2582553,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.543801+00
115,Please Mr. Postman,Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett,137,02:17,2206986,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.544935+00
116,C'Mon Everybody,Eddie Cochran/Jerry Capehart,140,02:20,2247846,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.546026+00
117,Rock 'N' Roll Music,Chuck Berry,141,02:21,2276788,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.547108+00
118,Slow Down,Larry Williams,163,02:43,2616981,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.548187+00
119,Roadrunner,Bo Diddley,143,02:23,2301989,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.549233+00
120,Carol,Chuck Berry,143,02:23,2306019,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.550283+00
121,Good Golly Miss Molly,Little Richard,106,01:46,1704918,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.551314+00
122,20 Flight Rock,Ned Fairchild,107,01:47,1299960,0.99,12,BackBeat Soundtrack,9,BackBeat,5,Rock And Roll,1,MPEG audio file,2023-01-04 12:05:34.552433+00
123,Quadrant,Billy Cobham,261,04:21,8538199,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.553479+00
124,Snoopy's search-Red baron,Billy Cobham,456,07:36,15075616,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.554687+00
125,"Spanish moss-""A sound portrait""-Spanish moss",Billy Cobham,248,04:08,8217867,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.557215+00
126,Moon germs,Billy Cobham,294,04:54,9714812,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.559062+00
127,Stratus,Billy Cobham,582,09:42,19115680,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.560781+00
128,The pleasant pheasant,Billy Cobham,318,05:18,10630578,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.561958+00
129,Solo-Panhandler,Billy Cobham,246,04:06,8230661,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.563321+00
130,Do what cha wanna,George Duke,274,04:34,9018565,0.99,13,The Best Of Billy Cobham,10,Billy Cobham,2,Jazz,1,MPEG audio file,2023-01-04 12:05:34.564597+00
131,Intro/ Low Down,,323,05:23,10642901,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.565873+00
132,13 Years Of Grief,,246,04:06,8137421,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.567188+00
133,Stronger Than Death,,300,05:00,9869647,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.568644+00
134,All For You,,235,03:55,7726948,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.570114+00
135,Super Terrorizer,,319,05:19,10513905,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.572793+00
136,Phoney Smile Fake Hellos,,273,04:33,9011701,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.575348+00
137,Lost My Better Half,,284,04:44,9355309,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.57762+00
138,Bored To Tears,,247,04:07,8130090,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.578918+00
139,A.N.D.R.O.T.A.Z.,,266,04:26,8574746,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.579999+00
140,Born To Booze,,282,04:42,9257358,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.581058+00
141,World Of Trouble,,359,05:59,11820932,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.582119+00
142,No More Tears,,555,09:15,18041629,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.583158+00
143,The Begining... At Last,,365,06:05,11965109,0.99,14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.584167+00
144,Heart Of Gold,,194,03:14,6417460,0.99,15,Alcohol Fueled Brewtality Live! [Disc 2],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.585172+00
145,Snowblind,,420,07:00,13842549,0.99,15,Alcohol Fueled Brewtality Live! [Disc 2],11,Black Label Society,3,Metal,1,MPEG audio file,2023-01-04 12:05:34.587243+00
