invoicelineid,invoiceid,trackid,unitprice,quantity,line_total,last_update
42,9,240,0.99,1,0.99,2023-01-04 12:05:45.845556+00
43,9,242,0.99,1,0.99,2023-01-04 12:05:45.846836+00
44,9,244,0.99,1,0.99,2023-01-04 12:05:45.847936+00
45,10,248,0.99,1,0.99,2023-01-04 12:05:45.848936+00
46,10,252,0.99,1,0.99,2023-01-04 12:05:45.849943+00
47,10,256,0.99,1,0.99,2023-01-04 12:05:45.850932+00
48,10,260,0.99,1,0.99,2023-01-04 12:05:45.851917+00
49,10,264,0.99,1,0.99,2023-01-04 12:05:45.852957+00
50,10,268,0.99,1,0.99,2023-01-04 12:05:45.853741+00
51,11,274,0.99,1,0.99,2023-01-04 12:05:45.856332+00
52,11,280,0.99,1,0.99,2023-01-04 12:05:45.858347+00
53,11,286,0.99,1,0.99,2023-01-04 12:05:45.859677+00
54,11,292,0.99,1,0.99,2023-01-04 12:05:45.860768+00
55,11,298,0.99,1,0.99,2023-01-04 12:05:45.861837+00
56,11,304,0.99,1,0.99,2023-01-04 12:05:45.863567+00
57,11,310,0.99,1,0.99,2023-01-04 12:05:45.864772+00
58,11,316,0.99,1,0.99,2023-01-04 12:05:45.865848+00
59,11,322,0.99,1,0.99,2023-01-04 12:05:45.86689+00
60,12,331,0.99,1,0.99,2023-01-04 12:05:45.867922+00
61,12,340,0.99,1,0.99,2023-01-04 12:05:45.868954+00
62,12,349,0.99,1,0.99,2023-01-04 12:05:45.871149+00
63,12,358,0.99,1,0.99,2023-01-04 12:05:45.872343+00
64,12,367,0.99,1,0.99,2023-01-04 12:05:45.873745+00
65,12,376,0.99,1,0.99,2023-01-04 12:05:45.874955+00
66,12,385,0.99,1,0.99,2023-01-04 12:05:45.875995+00
67,12,394,0.99,1,0.99,2023-01-04 12:05:45.876991+00
68,12,403,0.99,1,0.99,2023-01-04 12:05:45.87801+00
69,12,412,0.99,1,0.99,2023-01-04 12:05:45.879201+00
70,12,421,0.99,1,0.99,2023-01-04 12:05:45.880477+00
71,12,430,0.99,1,0.99,2023-01-04 12:05:45.88153+00
72,12,439,0.99,1,0.99,2023-01-04 12:05:45.882537+00
73,12,448,0.99,1,0.99,2023-01-04 12:05:45.88354+00
74,13,462,0.99,1,0.99,2023-01-04 12:05:45.884552+00
75,14,463,0.99,1,0.99,2023-01-04 12:05:45.886765+00
76,14,464,0.99,1,0.99,2023-01-04 12:05:45.887879+00
77,15,466,0.99,1,0.99,2023-01-04 12:05:45.888919+00
78,15,468,0.99,1,0.99,2023-01-04 12:05:45.889911+00
79,16,470,0.99,1,0.99,2023-01-04 12:05:45.890923+00
80,16,472,0.99,1,0.99,2023-01-04 12:05:45.89191+00
81,16,474,0.99,1,0.99,2023-01-04 12:05:45.89291+00
82,16,476,0.99,1,0.99,2023-01-04 12:05:45.893903+00
83,17,480,0.99,1,0.99,2023-01-04 12:05:45.894881+00
84,17,484,0.99,1,0.99,2023-01-04 12:05:45.896197+00
85,17,488,0.99,1,0.99,2023-01-04 12:05:45.897704+00
86,17,492,0.99,1,0.99,2023-01-04 12:05:45.898842+00
87,17,496,0.99,1,0.99,2023-01-04 12:05:45.899901+00
88,17,500,0.99,1,0.99,2023-01-04 12:05:45.902145+00
89,18,506,0.99,1,0.99,2023-01-04 12:05:45.903371+00
90,18,512,0.99,1,0.99,2023-01-04 12:05:45.904767+00
91,18,518,0.99,1,0.99,2023-01-04 12:05:45.905967+00
92,18,524,0.99,1,0.99,2023-01-04 12:05:45.907005+00
93,18,530,0.99,1,0.99,2023-01-04 12:05:45.908018+00
94,18,536,0.99,1,0.99,2023-01-04 12:05:45.909017+00
95,18,542,0.99,1,0.99,2023-01-04 12:05:45.909995+00
96,18,548,0.99,1,0.99,2023-01-04 12:05:45.911029+00
97,18,554,0.99,1,0.99,2023-01-04 12:05:45.912133+00
98,19,563,0.99,1,0.99,2023-01-04 12:05:45.913497+00
99,19,572,0.99,1,0.99,2023-01-04 12:05:45.914614+00
100,19,581,0.99,1,0.99,2023-01-04 12:05:45.915652+00
101,19,590,0.99,1,0.99,2023-01-04 12:05:45.917925+00
102,19,599,0.99,1,0.99,2023-01-04 12:05:45.919281+00
103,19,608,0.99,1,0.99,2023-01-04 12:05:45.920582+00
104,19,617,0.99,1,0.99,2023-01-04 12:05:45.921909+00
105,19,626,0.99,1,0.99,2023-01-04 12:05:45.923198+00
106,19,635,0.99,1,0.99,2023-01-04 12:05:45.924479+00
107,19,644,0.99,1,0.99,2023-01-04 12:05:45.925829+00
108,19,653,0.99,1,0.99,2023-01-04 12:05:45.927482+00
109,19,662,0.99,1,0.99,2023-01-04 12:05:45.928636+00
110,19,671,0.99,1,0.99,2023-01-04 12:05:45.930187+00
111,19,680,0.99,1,0.99,2023-01-04 12:05:45.9314+00
112,20,694,0.99,1,0.99,2023-01-04 12:05:45.933556+00
113,21,695,0.99,1,0.99,2023-01-04 12:05:45.93476+00
114,21,696,0.99,1,0.99,2023-01-04 12:05:45.936118+00
115,22,698,0.99,1,0.99,2023-01-04 12:05:45.937326+00
116,22,700,0.99,1,0.99,2023-01-04 12:05:45.938372+00
117,23,702,0.99,1,0.99,2023-01-04 12:05:45.939393+00
118,23,704,0.99,1,0.99,2023-01-04 12:05:45.940407+00
119,23,706,0.99,1,0.99,2023-01-04 12:05:45.941407+00
120,23,708,0.99,1,0.99,2023-01-04 12:05:45.94242+00
121,24,712,0.99,1,0.99,2023-01-04 12:05:45.943399+00
122,24,716,0.99,1,0.99,2023-01-04 12:05:45.944387+00
123,24,720,0.99,1,0.99,2023-01-04 12:05:45.945479+00
124,24,724,0.99,1,0.99,2023-01-04 12:05:45.946822+00
125,24,728,0.99,1,0.99,2023-01-04 12:05:45.949179+00
126,24,732,0.99,1,0.99,2023-01-04 12:05:45.950349+00
127,25,738,0.99,1,0.99,2023-01-04 12:05:45.951398+00
128,25,744,0.99,1,0.99,2023-01-04 12:05:45.95242+00
129,25,750,0.99,1,0.99,2023-01-04 12:05:45.953432+00
130,25,756,0.99,1,0.99,2023-01-04 12:05:45.954449+00
131,25,762,0.99,1,0.99,2023-01-04 12:05:45.955435+00
132,25,768,0.99,1,0.99,2023-01-04 12:05:45.956446+00
133,25,774,0.99,1,0.99,2023-01-04 12:05:45.957442+00
134,25,780,0.99,1,0.99,2023-01-04 12:05:45.958449+00
135,25,786,0.99,1,0.99,2023-01-04 12:05:45.95946+00
136,26,795,0.99,1,0.99,2023-01-04 12:05:45.960428+00
137,26,804,0.99,1,0.99,2023-01-04 12:05:45.961428+00
138,26,813,0.99,1,0.99,2023-01-04 12:05:45.965622+00
139,26,822,0.99,1,0.99,2023-01-04 12:05:45.967042+00
140,26,831,0.99,1,0.99,2023-01-04 12:05:45.96841+00
141,26,840,0.99,1,0.99,2023-01-04 12:05:45.969603+00
142,26,849,0.99,1,0.99,2023-01-04 12:05:45.970638+00
143,26,858,0.99,1,0.99,2023-01-04 12:05:45.971673+00
144,26,867,0.99,1,0.99,2023-01-04 12:05:45.972689+00
145,26,876,0.99,1,0.99,2023-01-04 12:05:45.973696+00
146,26,885,0.99,1,0.99,2023-01-04 12:05:45.974707+00
147,26,894,0.99,1,0.99,2023-01-04 12:05:45.975699+00
148,26,903,0.99,1,0.99,2023-01-04 12:05:45.9767+00
149,26,912,0.99,1,0.99,2023-01-04 12:05:45.977683+00
150,27,926,0.99,1,0.99,2023-01-04 12:05:45.979027+00
151,28,927,0.99,1,0.99,2023-01-04 12:05:45.981215+00
152,28,928,0.99,1,0.99,2023-01-04 12:05:45.982339+00
153,29,930,0.99,1,0.99,2023-01-04 12:05:45.983394+00
154,29,932,0.99,1,0.99,2023-01-04 12:05:45.984405+00
155,30,934,0.99,1,0.99,2023-01-04 12:05:45.985402+00
156,30,936,0.99,1,0.99,2023-01-04 12:05:45.986413+00
157,30,938,0.99,1,0.99,2023-01-04 12:05:45.987386+00
158,30,940,0.99,1,0.99,2023-01-04 12:05:45.988375+00
159,31,944,0.99,1,0.99,2023-01-04 12:05:45.989365+00
160,31,948,0.99,1,0.99,2023-01-04 12:05:45.990356+00
161,31,952,0.99,1,0.99,2023-01-04 12:05:45.991352+00
162,31,956,0.99,1,0.99,2023-01-04 12:05:45.992323+00
163,31,960,0.99,1,0.99,2023-01-04 12:05:45.993322+00
164,31,964,0.99,1,0.99,2023-01-04 12:05:45.994518+00
165,32,970,0.99,1,0.99,2023-01-04 12:05:45.997105+00
166,32,976,0.99,1,0.99,2023-01-04 12:05:45.998559+00
167,32,982,0.99,1,0.99,2023-01-04 12:05:46.000076+00
168,32,988,0.99,1,0.99,2023-01-04 12:05:46.001586+00
169,32,994,0.99,1,0.99,2023-01-04 12:05:46.002642+00
170,32,1000,0.99,1,0.99,2023-01-04 12:05:46.003658+00
171,32,1006,0.99,1,0.99,2023-01-04 12:05:46.004688+00
172,32,1012,0.99,1,0.99,2023-01-04 12:05:46.005702+00
173,32,1018,0.99,1,0.99,2023-01-04 12:05:46.006721+00
174,33,1027,0.99,1,0.99,2023-01-04 12:05:46.007721+00
175,33,1036,0.99,1,0.99,2023-01-04 12:05:46.008713+00
176,33,1045,0.99,1,0.99,2023-01-04 12:05:46.009714+00
177,33,1054,0.99,1,0.99,2023-01-04 12:05:46.011694+00
178,33,1063,0.99,1,0.99,2023-01-04 12:05:46.013474+00
179,33,1072,0.99,1,0.99,2023-01-04 12:05:46.014681+00
180,33,1081,0.99,1,0.99,2023-01-04 12:05:46.015728+00
181,33,1090,0.99,1,0.99,2023-01-04 12:05:46.016752+00
182,33,1099,0.99,1,0.99,2023-01-04 12:05:46.017778+00
183,33,1108,0.99,1,0.99,2023-01-04 12:05:46.018841+00
184,33,1117,0.99,1,0.99,2023-01-04 12:05:46.019913+00
185,33,1126,0.99,1,0.99,2023-01-04 12:05:46.020956+00
186,33,1135,0.99,1,0.99,2023-01-04 12:05:46.021957+00
187,33,1144,0.99,1,0.99,2023-01-04 12:05:46.022962+00
188,34,1158,0.99,1,0.99,2023-01-04 12:05:46.023953+00
189,35,1159,0.99,1,0.99,2023-01-04 12:05:46.024956+00
190,35,1160,0.99,1,0.99,2023-01-04 12:05:46.027246+00
191,36,1162,0.99,1,0.99,2023-01-04 12:05:46.028461+00
192,36,1164,0.99,1,0.99,2023-01-04 12:05:46.030221+00
193,37,1166,0.99,1,0.99,2023-01-04 12:05:46.031616+00
194,37,1168,0.99,1,0.99,2023-01-04 12:05:46.032663+00
195,37,1170,0.99,1,0.99,2023-01-04 12:05:46.033664+00
196,37,1172,0.99,1,0.99,2023-01-04 12:05:46.03468+00
197,38,1176,0.99,1,0.99,2023-01-04 12:05:46.03565+00
198,38,1180,0.99,1,0.99,2023-01-04 12:05:46.036644+00
199,38,1184,0.99,1,0.99,2023-01-04 12:05:46.037639+00
200,38,1188,0.99,1,0.99,2023-01-04 12:05:46.038622+00
201,38,1192,0.99,1,0.99,2023-01-04 12:05:46.039598+00
202,38,1196,0.99,1,0.99,2023-01-04 12:05:46.040595+00
203,39,1202,0.99,1,0.99,2023-01-04 12:05:46.042945+00
204,39,1208,0.99,1,0.99,2023-01-04 12:05:46.044095+00
205,39,1214,0.99,1,0.99,2023-01-04 12:05:46.045264+00
206,39,1220,0.99,1,0.99,2023-01-04 12:05:46.047067+00
207,39,1226,0.99,1,0.99,2023-01-04 12:05:46.048373+00
208,39,1232,0.99,1,0.99,2023-01-04 12:05:46.049446+00
209,39,1238,0.99,1,0.99,2023-01-04 12:05:46.050488+00
210,39,1244,0.99,1,0.99,2023-01-04 12:05:46.051555+00
211,39,1250,0.99,1,0.99,2023-01-04 12:05:46.052581+00
212,40,1259,0.99,1,0.99,2023-01-04 12:05:46.053593+00
213,40,1268,0.99,1,0.99,2023-01-04 12:05:46.054597+00
214,40,1277,0.99,1,0.99,2023-01-04 12:05:46.055617+00
215,40,1286,0.99,1,0.99,2023-01-04 12:05:46.056608+00
216,40,1295,0.99,1,0.99,2023-01-04 12:05:46.058596+00
217,40,1304,0.99,1,0.99,2023-01-04 12:05:46.059734+00
218,40,1313,0.99,1,0.99,2023-01-04 12:05:46.061144+00
219,40,1322,0.99,1,0.99,2023-01-04 12:05:46.06252+00
220,40,1331,0.99,1,0.99,2023-01-04 12:05:46.063755+00
221,40,1340,0.99,1,0.99,2023-01-04 12:05:46.064822+00
222,40,1349,0.99,1,0.99,2023-01-04 12:05:46.065835+00
223,40,1358,0.99,1,0.99,2023-01-04 12:05:46.066836+00
224,40,1367,0.99,1,0.99,2023-01-04 12:05:46.067824+00
225,40,1376,0.99,1,0.99,2023-01-04 12:05:46.068827+00
226,41,1390,0.99,1,0.99,2023-01-04 12:05:46.069831+00
227,42,1391,0.99,1,0.99,2023-01-04 12:05:46.070802+00
228,42,1392,0.99,1,0.99,2023-01-04 12:05:46.071827+00
229,43,1394,0.99,1,0.99,2023-01-04 12:05:46.074186+00
230,43,1396,0.99,1,0.99,2023-01-04 12:05:46.075355+00
231,44,1398,0.99,1,0.99,2023-01-04 12:05:46.076402+00
232,44,1400,0.99,1,0.99,2023-01-04 12:05:46.077422+00
233,44,1402,0.99,1,0.99,2023-01-04 12:05:46.07848+00
234,44,1404,0.99,1,0.99,2023-01-04 12:05:46.080016+00
235,45,1408,0.99,1,0.99,2023-01-04 12:05:46.081219+00
236,45,1412,0.99,1,0.99,2023-01-04 12:05:46.082271+00
237,45,1416,0.99,1,0.99,2023-01-04 12:05:46.083293+00
238,45,1420,0.99,1,0.99,2023-01-04 12:05:46.084303+00
239,45,1424,0.99,1,0.99,2023-01-04 12:05:46.085289+00
240,45,1428,0.99,1,0.99,2023-01-04 12:05:46.086276+00
241,46,1434,0.99,1,0.99,2023-01-04 12:05:46.08729+00
242,46,1440,0.99,1,0.99,2023-01-04 12:05:46.08878+00
243,46,1446,0.99,1,0.99,2023-01-04 12:05:46.090682+00
244,46,1452,0.99,1,0.99,2023-01-04 12:05:46.091819+00
245,46,1458,0.99,1,0.99,2023-01-04 12:05:46.0932+00
246,46,1464,0.99,1,0.99,2023-01-04 12:05:46.094407+00
247,46,1470,0.99,1,0.99,2023-01-04 12:05:46.095675+00
248,46,1476,0.99,1,0.99,2023-01-04 12:05:46.096948+00
249,46,1482,0.99,1,0.99,2023-01-04 12:05:46.098014+00
250,47,1491,0.99,1,0.99,2023-01-04 12:05:46.099035+00
251,47,1500,0.99,1,0.99,2023-01-04 12:05:46.100039+00
252,47,1509,0.99,1,0.99,2023-01-04 12:05:46.101043+00
253,47,1518,0.99,1,0.99,2023-01-04 12:05:46.102019+00
254,47,1527,0.99,1,0.99,2023-01-04 12:05:46.103031+00
255,47,1536,0.99,1,0.99,2023-01-04 12:05:46.105214+00
256,47,1545,0.99,1,0.99,2023-01-04 12:05:46.106389+00
257,47,1554,0.99,1,0.99,2023-01-04 12:05:46.107446+00
258,47,1563,0.99,1,0.99,2023-01-04 12:05:46.108438+00
259,47,1572,0.99,1,0.99,2023-01-04 12:05:46.10945+00
260,47,1581,0.99,1,0.99,2023-01-04 12:05:46.110443+00
261,47,1590,0.99,1,0.99,2023-01-04 12:05:46.111439+00
262,47,1599,0.99,1,0.99,2023-01-04 12:05:46.112826+00
263,47,1608,0.99,1,0.99,2023-01-04 12:05:46.114294+00
264,48,1622,0.99,1,0.99,2023-01-04 12:05:46.115407+00
265,49,1623,0.99,1,0.99,2023-01-04 12:05:46.116463+00
266,49,1624,0.99,1,0.99,2023-01-04 12:05:46.117495+00
267,50,1626,0.99,1,0.99,2023-01-04 12:05:46.1185+00
268,50,1628,0.99,1,0.99,2023-01-04 12:05:46.120028+00
269,51,1630,0.99,1,0.99,2023-01-04 12:05:46.121851+00
270,51,1632,0.99,1,0.99,2023-01-04 12:05:46.123316+00
271,51,1634,0.99,1,0.99,2023-01-04 12:05:46.124715+00
272,51,1636,0.99,1,0.99,2023-01-04 12:05:46.125942+00
273,52,1640,0.99,1,0.99,2023-01-04 12:05:46.127011+00
274,52,1644,0.99,1,0.99,2023-01-04 12:05:46.128096+00
275,52,1648,0.99,1,0.99,2023-01-04 12:05:46.129343+00
276,52,1652,0.99,1,0.99,2023-01-04 12:05:46.130511+00
277,52,1656,0.99,1,0.99,2023-01-04 12:05:46.131566+00
278,52,1660,0.99,1,0.99,2023-01-04 12:05:46.132553+00
279,53,1666,0.99,1,0.99,2023-01-04 12:05:46.133556+00
280,53,1672,0.99,1,0.99,2023-01-04 12:05:46.134554+00
281,53,1678,0.99,1,0.99,2023-01-04 12:05:46.136673+00
282,53,1684,0.99,1,0.99,2023-01-04 12:05:46.137801+00
283,53,1690,0.99,1,0.99,2023-01-04 12:05:46.138824+00
284,53,1696,0.99,1,0.99,2023-01-04 12:05:46.139832+00
285,53,1702,0.99,1,0.99,2023-01-04 12:05:46.140861+00
286,53,1708,0.99,1,0.99,2023-01-04 12:05:46.141878+00
287,53,1714,0.99,1,0.99,2023-01-04 12:05:46.142869+00
288,54,1723,0.99,1,0.99,2023-01-04 12:05:46.14387+00
289,54,1732,0.99,1,0.99,2023-01-04 12:05:46.144859+00
290,54,1741,0.99,1,0.99,2023-01-04 12:05:46.146485+00
291,54,1750,0.99,1,0.99,2023-01-04 12:05:46.147774+00
292,54,1759,0.99,1,0.99,2023-01-04 12:05:46.148861+00
293,54,1768,0.99,1,0.99,2023-01-04 12:05:46.149895+00
294,54,1777,0.99,1,0.99,2023-01-04 12:05:46.152147+00
295,54,1786,0.99,1,0.99,2023-01-04 12:05:46.153338+00
296,54,1795,0.99,1,0.99,2023-01-04 12:05:46.154727+00
297,54,1804,0.99,1,0.99,2023-01-04 12:05:46.155917+00
298,54,1813,0.99,1,0.99,2023-01-04 12:05:46.15697+00
299,54,1822,0.99,1,0.99,2023-01-04 12:05:46.15799+00
300,54,1831,0.99,1,0.99,2023-01-04 12:05:46.158991+00
301,54,1840,0.99,1,0.99,2023-01-04 12:05:46.159995+00
302,55,1854,0.99,1,0.99,2023-01-04 12:05:46.160973+00
303,56,1855,0.99,1,0.99,2023-01-04 12:05:46.162168+00
304,56,1856,0.99,1,0.99,2023-01-04 12:05:46.163437+00
305,57,1858,0.99,1,0.99,2023-01-04 12:05:46.164228+00
306,57,1860,0.99,1,0.99,2023-01-04 12:05:46.164838+00
307,58,1862,0.99,1,0.99,2023-01-04 12:05:46.16543+00
308,58,1864,0.99,1,0.99,2023-01-04 12:05:46.166019+00
309,58,1866,0.99,1,0.99,2023-01-04 12:05:46.167992+00
310,58,1868,0.99,1,0.99,2023-01-04 12:05:46.168816+00
311,59,1872,0.99,1,0.99,2023-01-04 12:05:46.169663+00
312,59,1876,0.99,1,0.99,2023-01-04 12:05:46.170661+00
313,59,1880,0.99,1,0.99,2023-01-04 12:05:46.17127+00
314,59,1884,0.99,1,0.99,2023-01-04 12:05:46.171859+00
315,59,1888,0.99,1,0.99,2023-01-04 12:05:46.172448+00
316,59,1892,0.99,1,0.99,2023-01-04 12:05:46.173027+00
317,60,1898,0.99,1,0.99,2023-01-04 12:05:46.173612+00
318,60,1904,0.99,1,0.99,2023-01-04 12:05:46.174188+00
319,60,1910,0.99,1,0.99,2023-01-04 12:05:46.174753+00
320,60,1916,0.99,1,0.99,2023-01-04 12:05:46.17533+00
321,60,1922,0.99,1,0.99,2023-01-04 12:05:46.175898+00
322,60,1928,0.99,1,0.99,2023-01-04 12:05:46.176471+00
323,60,1934,0.99,1,0.99,2023-01-04 12:05:46.177055+00
324,60,1940,0.99,1,0.99,2023-01-04 12:05:46.17762+00
325,60,1946,0.99,1,0.99,2023-01-04 12:05:46.178207+00
326,61,1955,0.99,1,0.99,2023-01-04 12:05:46.179203+00
327,61,1964,0.99,1,0.99,2023-01-04 12:05:46.179977+00
328,61,1973,0.99,1,0.99,2023-01-04 12:05:46.180605+00
329,61,1982,0.99,1,0.99,2023-01-04 12:05:46.181188+00
330,61,1991,0.99,1,0.99,2023-01-04 12:05:46.183534+00
331,61,2000,0.99,1,0.99,2023-01-04 12:05:46.18433+00
332,61,2009,0.99,1,0.99,2023-01-04 12:05:46.18542+00
333,61,2018,0.99,1,0.99,2023-01-04 12:05:46.186081+00
334,61,2027,0.99,1,0.99,2023-01-04 12:05:46.186684+00
335,61,2036,0.99,1,0.99,2023-01-04 12:05:46.187264+00
336,61,2045,0.99,1,0.99,2023-01-04 12:05:46.187848+00
337,61,2054,0.99,1,0.99,2023-01-04 12:05:46.188432+00
338,61,2063,0.99,1,0.99,2023-01-04 12:05:46.189008+00
339,61,2072,0.99,1,0.99,2023-01-04 12:05:46.189585+00
340,62,2086,0.99,1,0.99,2023-01-04 12:05:46.190165+00
341,63,2087,0.99,1,0.99,2023-01-04 12:05:46.190736+00
342,63,2088,0.99,1,0.99,2023-01-04 12:05:46.191332+00
343,64,2090,0.99,1,0.99,2023-01-04 12:05:46.19191+00
344,64,2092,0.99,1,0.99,2023-01-04 12:05:46.192475+00
345,65,2094,0.99,1,0.99,2023-01-04 12:05:46.193053+00
346,65,2096,0.99,1,0.99,2023-01-04 12:05:46.193624+00
347,65,2098,0.99,1,0.99,2023-01-04 12:05:46.194197+00
348,65,2100,0.99,1,0.99,2023-01-04 12:05:46.194771+00
349,66,2104,0.99,1,0.99,2023-01-04 12:05:46.195618+00
350,66,2108,0.99,1,0.99,2023-01-04 12:05:46.196558+00
351,66,2112,0.99,1,0.99,2023-01-04 12:05:46.197274+00
352,66,2116,0.99,1,0.99,2023-01-04 12:05:46.199477+00
353,66,2120,0.99,1,0.99,2023-01-04 12:05:46.200602+00
354,66,2124,0.99,1,0.99,2023-01-04 12:05:46.201701+00
355,67,2130,0.99,1,0.99,2023-01-04 12:05:46.202338+00
356,67,2136,0.99,1,0.99,2023-01-04 12:05:46.202936+00
357,67,2142,0.99,1,0.99,2023-01-04 12:05:46.203514+00
358,67,2148,0.99,1,0.99,2023-01-04 12:05:46.204093+00
359,67,2154,0.99,1,0.99,2023-01-04 12:05:46.204663+00
360,67,2160,0.99,1,0.99,2023-01-04 12:05:46.205235+00
361,67,2166,0.99,1,0.99,2023-01-04 12:05:46.205841+00
362,67,2172,0.99,1,0.99,2023-01-04 12:05:46.206419+00
363,67,2178,0.99,1,0.99,2023-01-04 12:05:46.206995+00
364,68,2187,0.99,1,0.99,2023-01-04 12:05:46.207565+00
365,68,2196,0.99,1,0.99,2023-01-04 12:05:46.208134+00
366,68,2205,0.99,1,0.99,2023-01-04 12:05:46.208708+00
367,68,2214,0.99,1,0.99,2023-01-04 12:05:46.20928+00
368,68,2223,0.99,1,0.99,2023-01-04 12:05:46.209848+00
369,68,2232,0.99,1,0.99,2023-01-04 12:05:46.210415+00
370,68,2241,0.99,1,0.99,2023-01-04 12:05:46.21098+00
371,68,2250,0.99,1,0.99,2023-01-04 12:05:46.211583+00
372,68,2259,0.99,1,0.99,2023-01-04 12:05:46.212487+00
373,68,2268,0.99,1,0.99,2023-01-04 12:05:46.216131+00
374,68,2277,0.99,1,0.99,2023-01-04 12:05:46.21776+00
375,68,2286,0.99,1,0.99,2023-01-04 12:05:46.218423+00
376,68,2295,0.99,1,0.99,2023-01-04 12:05:46.219058+00
377,68,2304,0.99,1,0.99,2023-01-04 12:05:46.219655+00
378,69,2318,0.99,1,0.99,2023-01-04 12:05:46.220236+00
379,70,2319,0.99,1,0.99,2023-01-04 12:05:46.220818+00
380,70,2320,0.99,1,0.99,2023-01-04 12:05:46.221412+00
381,71,2322,0.99,1,0.99,2023-01-04 12:05:46.22199+00
382,71,2324,0.99,1,0.99,2023-01-04 12:05:46.222563+00
383,72,2326,0.99,1,0.99,2023-01-04 12:05:46.223143+00
384,72,2328,0.99,1,0.99,2023-01-04 12:05:46.223712+00
385,72,2330,0.99,1,0.99,2023-01-04 12:05:46.224281+00
386,72,2332,0.99,1,0.99,2023-01-04 12:05:46.224847+00
387,73,2336,0.99,1,0.99,2023-01-04 12:05:46.22542+00
388,73,2340,0.99,1,0.99,2023-01-04 12:05:46.225995+00
389,73,2344,0.99,1,0.99,2023-01-04 12:05:46.226565+00
390,73,2348,0.99,1,0.99,2023-01-04 12:05:46.227141+00
391,73,2352,0.99,1,0.99,2023-01-04 12:05:46.227711+00
392,73,2356,0.99,1,0.99,2023-01-04 12:05:46.230748+00
393,74,2362,0.99,1,0.99,2023-01-04 12:05:46.232039+00
394,74,2368,0.99,1,0.99,2023-01-04 12:05:46.233099+00
395,74,2374,0.99,1,0.99,2023-01-04 12:05:46.233808+00
396,74,2380,0.99,1,0.99,2023-01-04 12:05:46.234404+00
397,74,2386,0.99,1,0.99,2023-01-04 12:05:46.235009+00
398,74,2392,0.99,1,0.99,2023-01-04 12:05:46.235594+00
399,74,2398,0.99,1,0.99,2023-01-04 12:05:46.236186+00
400,74,2404,0.99,1,0.99,2023-01-04 12:05:46.236766+00
401,74,2410,0.99,1,0.99,2023-01-04 12:05:46.237344+00
402,75,2419,0.99,1,0.99,2023-01-04 12:05:46.237916+00
